timestamp_utc,elapsed_sec,label,cpu_percent_total,mem_percent_total,mem_available_mb,disk_percent_root,net_sent_mb_since_start,net_recv_mb_since_start,battery_percent,battery_plugged,cpu_temp_c,cpu_freq_mhz,power_proxy_score,proc_pid,proc_cpu_percent,proc_rss_mb,proc_vms_mb
2026-03-28T11:48:32.634139+00:00,0.0,after,60.0,43.3,4570.359,66.3,0.0,0.0,,,77.65,2400.0,144.0,27177,0.0,111.562,508.391
2026-03-28T11:48:33.635038+00:00,1.002,after,43.3,43.4,4561.234,66.3,0.14988,0.079185,,,75.45,1900.0,82.27,27177,4.0,111.562,508.391
2026-03-28T11:48:34.636041+00:00,2.003,after,28.8,43.4,4563.312,66.3,0.752675,0.41424,,,77.1,2400.0,69.12,27177,4.0,111.562,508.391
2026-03-28T11:48:35.637017+00:00,3.004,after,45.1,43.4,4564.031,66.3,0.899976,0.508715,,,77.1,2400.0,108.24,27177,5.0,111.562,508.391
2026-03-28T11:48:36.637752+00:00,4.005,after,5.3,43.4,4564.953,66.3,1.066171,0.591778,,,76.0,2400.0,12.72,27177,3.0,111.562,508.391
2026-03-28T11:48:37.638527+00:00,5.006,after,4.3,43.3,4567.656,66.3,1.225287,0.671487,,,76.0,2400.0,10.32,27177,3.0,111.562,508.391
2026-03-28T11:48:38.639256+00:00,6.007,after,4.6,43.3,4572.172,66.3,1.384429,0.750938,,,75.45,2400.0,11.04,27177,4.0,111.922,508.75
2026-03-28T11:48:39.640174+00:00,7.007,after,4.1,43.3,4571.516,66.3,1.549306,0.833371,,,73.25,1600.0,6.56,27177,4.0,114.141,510.969
2026-03-28T11:48:40.641200+00:00,8.008,after,4.1,43.2,4577.766,66.3,1.559792,0.838718,,,73.8,1500.0,6.15,27177,4.0,115.328,512.156
2026-03-28T11:48:41.642107+00:00,9.009,after,3.1,43.2,4575.953,66.3,1.560266,0.839294,,,74.9,1600.0,4.96,27177,3.0,117.422,514.234
2026-03-28T11:48:42.643090+00:00,10.01,after,4.6,43.2,4576.344,66.3,1.560266,0.839294,,,74.35,1500.0,6.9,27177,5.0,118.969,515.75
2026-03-28T11:48:43.644020+00:00,11.011,after,4.8,43.3,4574.984,66.3,1.560883,0.839912,,,73.25,1600.0,7.68,27177,5.0,120.203,516.953
2026-03-28T11:48:44.644771+00:00,12.012,after,20.4,43.4,4563.547,66.3,2.170826,1.219206,,,74.35,2400.0,48.96,27177,13.0,129.938,518.875
2026-03-28T11:48:45.645535+00:00,13.013,after,18.4,43.4,4560.656,66.3,2.868838,1.566924,,,74.35,2400.0,44.16,27177,5.0,129.938,518.875
2026-03-28T11:48:46.647183+00:00,14.014,after,16.1,43.4,4559.609,66.3,3.21845,1.741232,,,75.45,2400.0,38.64,27177,3.0,129.938,518.875
2026-03-28T11:48:47.647930+00:00,15.015,after,16.7,43.5,4557.734,66.3,3.373437,1.818843,,,75.45,2400.0,40.08,27177,3.0,129.938,518.875
2026-03-28T11:48:48.648653+00:00,16.016,after,3.3,43.5,4557.734,66.3,3.451743,1.857988,,,75.45,2400.0,7.92,27177,3.0,129.938,518.875
2026-03-28T11:48:49.649552+00:00,17.017,after,2.8,43.4,4563.219,66.3,3.525836,1.895082,,,74.35,1600.0,4.48,27177,4.0,129.938,518.875
2026-03-28T11:48:50.650643+00:00,18.018,after,5.5,43.4,4565.312,66.3,3.600602,1.932381,,,73.8,1600.0,8.8,27177,3.0,129.938,518.875
2026-03-28T11:48:51.651569+00:00,19.019,after,4.6,43.3,4569.203,66.3,3.617801,1.941247,,,72.7,1600.0,7.36,27177,5.0,129.938,518.875
2026-03-28T11:48:52.652516+00:00,20.02,after,4.5,43.3,4569.516,66.3,3.617801,1.941247,,,72.7,1500.0,6.75,27177,3.0,129.938,518.875
2026-03-28T11:48:53.653427+00:00,21.021,after,4.5,43.3,4572.859,66.3,3.618369,1.94177,,,72.15,1600.0,7.2,27177,4.0,129.938,518.875
2026-03-28T11:48:54.654334+00:00,22.022,after,2.8,43.3,4574.891,66.3,3.618369,1.94177,,,72.15,1600.0,4.48,27177,4.0,129.938,518.875
2026-03-28T11:48:55.655310+00:00,23.022,after,3.3,43.3,4574.953,66.3,3.618937,1.942411,,,72.15,1500.0,4.95,27177,4.0,129.938,518.875
2026-03-28T11:48:56.656294+00:00,24.023,after,3.6,43.2,4576.469,66.3,3.618937,1.942885,,,72.15,1500.0,5.4,27177,4.0,129.938,518.875
2026-03-28T11:48:57.657222+00:00,25.024,after,4.3,43.2,4580.094,66.3,3.619506,1.943408,,,72.15,1500.0,6.45,27177,4.0,129.938,518.875
2026-03-28T11:48:58.658180+00:00,26.025,after,4.8,43.2,4579.156,66.3,3.620313,1.944139,,,72.15,1500.0,7.2,27177,3.0,129.938,518.875
2026-03-28T11:48:59.659104+00:00,27.026,after,4.8,43.2,4578.688,66.3,3.621688,1.945798,,,72.15,1600.0,7.68,27177,5.0,129.938,518.875
2026-03-28T11:49:00.660220+00:00,28.027,after,8.3,43.3,4575.531,66.3,3.628654,1.951251,,,71.6,1900.0,15.77,27177,4.0,131.047,519.984
2026-03-28T11:49:01.660983+00:00,29.028,after,30.0,43.3,4570.203,66.3,3.729959,2.018589,,,73.8,2400.0,72.0,27177,4.0,132.078,521.016
2026-03-28T11:49:02.661824+00:00,30.029,after,43.2,43.4,4559.688,66.3,4.061032,2.198841,,,74.9,2400.0,103.68,27177,5.0,131.266,520.078
2026-03-28T11:49:03.664055+00:00,31.03,after,52.0,43.4,4562.719,66.3,4.249961,2.305438,,,75.45,2400.0,124.8,27177,4.0,131.266,520.078
2026-03-28T11:49:04.664868+00:00,32.032,after,33.5,43.4,4560.375,66.3,5.054388,2.714983,,,75.45,2400.0,80.4,27177,3.0,131.266,520.078
2026-03-28T11:49:05.665614+00:00,33.033,after,45.8,43.8,4532.719,66.3,5.488006,2.935994,,,77.65,2400.0,109.92,27177,4.0,131.266,520.078
2026-03-28T11:49:06.666464+00:00,34.034,after,43.4,44.1,4509.781,66.3,5.925847,3.168414,,,78.2,2400.0,104.16,27177,4.0,131.266,520.078
2026-03-28T11:49:07.667208+00:00,35.035,after,12.7,44.1,4510.188,66.3,6.45952,3.430902,,,76.0,2400.0,30.48,27177,3.0,131.266,520.078
2026-03-28T11:49:08.668655+00:00,36.036,after,19.0,44.1,4504.547,66.3,6.972777,3.702613,,,77.1,2400.0,45.6,27177,2.0,131.266,520.078
2026-03-28T11:49:09.669793+00:00,37.037,after,21.4,44.1,4507.953,66.3,7.269528,3.866483,,,76.0,2400.0,51.36,27177,4.0,131.266,520.078
