timestamp_utc,elapsed_sec,label,cpu_percent_total,mem_percent_total,mem_available_mb,disk_percent_root,net_sent_mb_since_start,net_recv_mb_since_start,battery_percent,battery_plugged,cpu_temp_c,cpu_freq_mhz,power_proxy_score,proc_pid,proc_cpu_percent,proc_rss_mb,proc_vms_mb
2026-03-28T05:53:16.136617+00:00,0.0,polling,85.0,37.8,5011.938,65.7,0.0,0.0,,,69.95,2400.0,204.0,16122,0.0,97.328,481.359
2026-03-28T05:53:17.137507+00:00,1.001,polling,63.8,38.0,4997.281,65.7,0.136176,0.067874,,,69.4,2400.0,153.12,16122,13.0,98.906,482.922
2026-03-28T05:53:18.138390+00:00,2.002,polling,15.6,38.2,4984.641,65.7,0.268823,0.131807,,,68.3,2400.0,37.44,16122,13.0,100.734,484.734
2026-03-28T05:53:19.139313+00:00,3.003,polling,7.3,38.2,4984.5,65.7,0.396502,0.198704,,,67.2,1700.0,12.41,16122,13.0,102.156,486.156
2026-03-28T05:53:20.140231+00:00,4.004,polling,8.1,38.2,4985.859,65.7,0.504918,0.252736,,,67.2,1700.0,13.77,16122,16.0,103.734,487.719
2026-03-28T05:53:21.141260+00:00,5.005,polling,7.6,38.1,4987.516,65.7,0.632409,0.316454,,,66.65,1600.0,12.16,16122,17.0,105.531,489.516
2026-03-28T05:53:22.142171+00:00,6.006,polling,8.8,38.0,4995.031,65.7,0.690446,0.345874,,,66.1,1700.0,14.96,16122,15.0,107.078,492.031
2026-03-28T05:53:23.143149+00:00,7.007,polling,8.1,38.0,4999.422,65.7,0.691687,0.346638,,,67.75,1600.0,12.96,16122,16.0,108.531,493.453
2026-03-28T05:53:24.144155+00:00,8.008,polling,7.3,37.8,5011.375,65.7,0.692013,0.348269,,,64.45,1700.0,12.41,16122,17.0,110.359,495.25
2026-03-28T05:53:25.145094+00:00,9.009,polling,8.0,37.8,5012.984,65.7,0.693249,0.349684,,,65.55,1600.0,12.8,16122,15.0,111.938,496.812
